Date/Time,4/13/2021,14:43:14,BEAM_PROFILE_Y
Distance (μm),Intensity (cnts),,
4472.28,79,,
4475.97,86,,
4479.66,82,,
4483.35,73,,
4487.04,75,,
4490.73,82,,
4494.42,76,,
4498.11,77,,
4501.8,78,,
4505.49,77,,
4509.18,88,,
4512.87,86,,
4516.56,76,,
4520.25,76,,
4523.94,77,,
4527.63,79,,
4531.32,79,,
4535.01,77,,
4538.7,78,,
4542.39,81,,
4546.08,85,,
4549.77,80,,
4553.46,79,,
4557.15,81,,
4560.84,74,,
4564.53,83,,
4568.22,79,,
4571.91,82,,
4575.6,79,,
4579.29,80,,
4582.98,81,,
4586.67,79,,
4590.36,83,,
4594.05,75,,
4597.74,71,,
4601.43,78,,
4605.12,78,,
4608.81,77,,
4612.5,80,,
4616.19,86,,
4619.88,72,,
4623.57,81,,
4627.26,83,,
4630.95,82,,
4634.64,74,,
4638.33,81,,
4642.02,84,,
4645.71,76,,
4649.4,78,,
4653.09,86,,
4656.78,81,,
4660.47,83,,
4664.16,80,,
4667.85,74,,
4671.54,78,,
4675.23,71,,
4678.92,79,,
4682.61,81,,
4686.3,74,,
4689.99,77,,
4693.68,77,,
4697.37,82,,
4701.06,89,,
4704.75,79,,
4708.44,73,,
4712.13,76,,
4715.82,87,,
4719.51,75,,
4723.2,82,,
4726.89,77,,
4730.58,83,,
4734.27,82,,
4737.96,77,,
4741.65,84,,
4745.34,78,,
4749.03,79,,
4752.72,73,,
4756.41,86,,
4760.1,79,,
4763.79,84,,
4767.48,75,,
4771.17,75,,
4774.86,88,,
4778.55,79,,
4782.24,83,,
4785.93,71,,
4789.62,81,,
4793.31,85,,
4797,77,,
4800.69,81,,
4804.38,78,,
4808.07,81,,
4811.76,77,,
4815.45,74,,
4819.14,76,,
4822.83,78,,
4826.52,77,,
4830.21,79,,
4833.9,73,,
4837.59,87,,
4841.28,77,,
4844.97,79,,
4848.66,83,,
4852.35,84,,
4856.04,85,,
4859.73,99,,
4863.42,102,,
4867.11,104,,
4870.8,90,,
4874.49,81,,
4878.18,86,,
4881.87,76,,
4885.56,76,,
4889.25,80,,
4892.94,91,,
4896.63,83,,
4900.32,78,,
4904.01,79,,
4907.7,81,,
4911.39,80,,
4915.08,84,,
4918.77,86,,
4922.46,80,,
4926.15,74,,
4929.84,75,,
4933.53,71,,
4937.22,78,,
4940.91,78,,
4944.6,77,,
4948.29,81,,
4951.98,81,,
4955.67,78,,
4959.36,80,,
4963.05,75,,
4966.74,84,,
4970.43,78,,
4974.12,83,,
4977.81,80,,
4981.5,75,,
4985.19,82,,
4988.88,77,,
4992.57,77,,
4996.26,79,,
4999.95,81,,
5003.64,81,,
5007.33,76,,
5011.02,74,,
5014.71,77,,
5018.4,79,,
5022.09,80,,
5025.78,81,,
5029.47,77,,
5033.16,77,,
5036.85,82,,
5040.54,79,,
5044.23,78,,
5047.92,82,,
5051.61,81,,
5055.3,79,,
5058.99,81,,
5062.68,82,,
5066.37,76,,
5070.06,80,,
5073.75,83,,
5077.44,74,,
5081.13,78,,
5084.82,81,,
5088.51,87,,
5092.2,79,,
5095.89,76,,
5099.58,78,,
5103.27,84,,
5106.96,72,,
5110.65,80,,
5114.34,73,,
5118.03,79,,
5121.72,74,,
5125.41,83,,
5129.1,80,,
5132.79,78,,
5136.48,79,,
5140.17,75,,
5143.86,85,,
5147.55,81,,
5151.24,83,,
5154.93,79,,
5158.62,84,,
5162.31,83,,
5166,82,,
5169.69,78,,
5173.38,81,,
5177.07,84,,
5180.76,79,,
5184.45,77,,
5188.14,75,,
5191.83,77,,
5195.52,81,,
5199.21,85,,
5202.9,81,,
5206.59,76,,
5210.28,78,,
5213.97,80,,
5217.66,77,,
5221.35,79,,
5225.04,85,,
5228.73,81,,
5232.42,75,,
5236.11,74,,
5239.8,79,,
5243.49,83,,
5247.18,77,,
5250.87,79,,
5254.56,75,,
5258.25,82,,
5261.94,83,,
5265.63,75,,
5269.32,77,,
5273.01,79,,
5276.7,81,,
5280.39,82,,
5284.08,73,,
5287.77,80,,
5291.46,77,,
5295.15,78,,
5298.84,76,,
5302.53,78,,
5306.22,82,,
5309.91,76,,
5313.6,76,,
5317.29,77,,
5320.98,76,,
5324.67,85,,
5328.36,76,,
5332.05,71,,
5335.74,81,,
5339.43,76,,
